rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
23,1,0:19:10,34519,10,13,1,short service,0,1,2,7,-0.479268293,-0.483177083,,,8,184.9,636.91,8,131.7,270.02,1,1,22,6
23,2,0:19:11,34542,10,13,0,net shot,0,1,2,2,-1.070731707,0.290989583,,,7,122.3,376.6,8,176.6,616.07,1,1,22,6
23,3,0:19:12,34562,10,13,1,push/rush,0,1,1,4,1.18902439,-1.47625,,,7,124.2,584.7,8,136.7,335.43,1,1,22,6
23,4,0:19:13,34591,10,13,0,clear,1,0,1,3,1.4,1.678125,,,8,207.8,253.79,8,192.7,669.36,1,1,22,6
23,5,0:19:14,34643,10,13,1,smash,0,0,2,5,-0.936585366,-1.02375,,,3,267.4,770.03,8,179.6,238.64,1,1,22,6
23,6,0:19:15,34658,10,13,0,defensive shot,0,0,2,1,-1.146341463,0.063385417,touched the net,0,8,148.7,294.64,5,257,752.94,1,1,22,6
29,1,0:24:22,43871,14,15,1,short service,0,1,2,7,0.624390244,-0.384583333,,,8,171.6,641.71,8,232.2,235.32,1,1,28,14
29,2,0:24:23,43891,14,15,0,lob,0,0,1,3,1.167073171,1.684791667,,,8,234.4,359.69,8,198.5,622.45,1,1,28,14
29,3,0:24:24,43931,14,15,1,drop,0,0,2,6,1.319512195,-0.76765625,,,9,238,793.03,8,185.6,276.87,1,1,28,14
29,4,0:24:24,43949,14,15,0,net shot,0,1,2,7,0.362195122,0.529895833,,,8,244.1,312.89,8,218.7,747.66,1,1,28,14
29,5,0:24:25,43973,14,15,1,lob,0,0,1,3,-0.992682927,-1.377135417,,,8,187.3,601.18,8,205.1,291.5,1,1,28,14
29,6,0:24:26,44009,14,15,0,smash,0,0,2,6,-1.156097561,1.0796875,,,9,109.4,196.92,8,197.6,664.79,1,1,28,14
29,7,0:24:27,44021,14,15,1,defensive shot,0,1,2,7,-0.712195122,-0.458958333,,,8,187.7,682.84,3,102.5,166.5,1,1,28,14
29,8,0:24:28,44045,14,15,0,net shot,0,0,2,2,-1.212195122,0.252708333,,,7,140.9,369.7,8,166.8,667.95,1,1,28,14
29,9,0:24:28,44069,14,15,1,lob,0,1,1,4,1.151219512,-1.49046875,,,7,112.5,584.77,8,153.2,309.15,1,1,28,14
29,10,0:24:30,44103,14,15,0,drop,1,0,2,1,1.247560976,0.444947917,,,8,208.4,222.46,8,194.2,667.84,1,1,28,14
29,11,0:24:30,44124,14,15,1,net shot,0,0,2,7,-0.609756098,-0.402083333,,,5,251.5,652.28,9,219.4,195.35,1,1,28,14
29,12,0:24:31,44154,14,15,0,net shot,0,0,2,7,0.917073171,0.275260417,,,7,127.4,369.85,8,188.9,630.53,1,1,28,14
29,13,0:24:32,44175,14,15,1,push/rush,0,0,1,6,1.309756098,-1.265104167,,,7,210.4,589.3,8,171.4,323.27,1,1,28,14
29,14,0:24:33,44202,14,15,0,smash,1,0,2,3,1.506097561,1.70421875,misjudged,0,8,207.4,240.88,8,219.5,661.65,1,1,28,14
30,1,0:24:55,44861,14,16,0,short service,0,1,2,7,0.45,0.538697917,,,8,172,316.13,8,232.8,666.17,1,1,29,19
30,2,0:24:56,44880,14,16,1,lob,0,0,1,3,-0.902439024,-1.506614583,,,8,203.8,606.07,8,171.4,299.25,1,1,29,19
30,3,0:24:57,44918,14,16,0,smash,0,0,2,6,-1.118292683,0.976770833,,,9,119.1,171.88,8,186.5,663.31,1,1,29,19
30,4,0:24:57,44935,14,16,1,defensive shot,0,1,1,3,-1.379268293,-1.50359375,,,8,123.5,609.79,10,128.8,137.45,1,1,29,19
30,5,0:24:59,44975,14,16,0,drop,0,0,2,2,-0.954878049,0.613854167,,,3,74.9,189.19,8,168.7,673.97,1,1,29,19
30,6,0:24:59,44997,14,16,1,net shot,0,1,2,7,-0.087804878,-0.484895833,,,8,122.6,613.08,8,111,223.79,1,1,29,19
30,7,0:25:00,45020,14,16,0,net shot,0,1,2,2,-1.043902439,0.290885417,,,8,153.5,349.14,8,167.7,641.72,1,1,29,19
30,8,0:25:01,45042,14,16,1,net shot,0,1,2,7,-0.023170732,-0.438958333,,,7,122.6,583.01,8,158.8,330.49,1,1,29,19
30,9,0:25:02,45068,14,16,0,net shot,0,0,2,7,-0.098780488,0.258958333,,,7,166.6,369.43,8,170.1,632.22,1,1,29,19
30,10,0:25:02,45089,14,16,1,net shot,0,0,2,1,-0.903658537,-0.178854167,,,7,169.1,581.03,8,179.8,323.18,1,1,29,19
30,11,0:25:03,45112,14,16,0,net shot,0,0,2,2,-1.385365854,0.4521875,,,8,122.1,347.18,8,168.6,612.84,1,1,29,19
30,12,0:25:04,45140,14,16,1,lob,0,1,1,5,-1.13902439,-1.348125,,,2,85.3,590.01,8,146.9,337.65,1,1,29,19
30,13,0:25:06,45180,14,16,0,smash,0,0,2,6,-1.154878049,1.048385417,,,9,115.9,174.72,8,170.1,652.63,1,1,29,19
30,14,0:25:06,45192,14,16,1,defensive shot,0,1,2,8,-0.462195122,-0.5653125,,,8,176.4,658.77,3,79.2,172.47,1,1,29,19
30,15,0:25:07,45221,14,16,0,net shot,0,0,2,7,0.518292683,0.381510417,,,8,158.1,325.79,8,157.5,649.58,1,1,29,19
30,16,0:25:08,45241,14,16,1,drive,0,0,2,8,0.013414634,-0.61515625,,,7,197.4,575.71,8,155.4,284.71,1,1,29,19
30,17,0:25:08,45259,14,16,0,push/rush,0,0,1,3,1.407317073,1.664947917,,,8,180.3,344.24,8,192.9,597.82,1,1,29,19
30,18,0:25:09,45297,14,16,1,clear,0,0,1,4,1.432926829,-1.406041667,,,3,260.5,779.07,8,200.5,308.59,1,1,29,19
30,19,0:25:10,45329,14,16,0,drop,1,0,2,10,1.701219512,0.063802083,touched the net,0,6,266.4,224.32,8,230,707.44,1,1,29,19
31,1,0:25:33,45996,14,17,1,long service,0,1,1,5,-1.004878049,-1.334895833,,,8,185.3,647.91,8,134.4,280,1,1,30,8
31,2,0:25:34,46027,14,17,0,smash,0,0,2,8,0.746341463,1.138697917,,,8,111.8,210.43,8,190.7,676.88,1,1,30,8
31,3,0:25:34,46043,14,17,1,defensive shot,0,0,2,7,0.251219512,-0.38296875,,,8,198.8,678.34,10,94.7,135.07,1,1,30,8
31,4,0:25:35,46072,14,17,0,net shot,0,0,2,1,0.998780488,0.255572917,,,8,227,352.93,8,198.3,630.49,1,1,30,8
31,5,0:25:36,46093,14,17,1,net shot,0,0,2,7,0.630487805,-0.1203125,,,7,240.9,536.47,8,201.6,350.91,1,1,30,8
31,6,0:25:37,46117,14,17,0,net shot,0,1,2,7,0.481707317,0.266875,,,7,198.3,402.11,7,218,556.36,1,1,30,8
31,7,0:25:38,46142,14,17,1,lob,0,0,1,8,0.62804878,-1.20625,,,7,205.6,577.38,8,179.2,327.91,1,1,30,8
31,8,0:25:39,46189,14,17,0,smash,0,0,2,10,-1.541463415,1.157447917,out,0,8,217.4,245.94,8,206.5,676.82,1,1,30,8
33,1,0:26:57,48529,16,17,0,short service,0,1,2,8,-0.526829268,0.691770833,,,8,184.6,327.85,8,129.1,663.54,1,1,32,13
33,2,0:26:58,48548,16,17,1,net shot,0,1,2,7,0.173170732,-0.371302083,,,8,162,599.65,8,181.6,316.02,1,1,32,13
33,3,0:26:59,48571,16,17,0,net shot,0,1,2,2,-1.002439024,0.203177083,,,7,178.9,373.78,8,167.6,620.99,1,1,32,13
33,4,0:26:59,48593,16,17,1,net shot,0,1,2,7,-0.15,-0.25828125,,,7,132.5,569.18,8,167.2,337.42,1,1,32,13
33,5,0:27:00,48614,16,17,0,lob,0,0,1,9,-0.469512195,1.711666667,,,7,160.2,376.2,7,165,584.47,1,1,32,13
33,6,0:27:01,48654,16,17,1,drop,0,0,2,5,-1.174390244,-0.6940625,,,9,150.9,763.72,8,160.9,277.18,1,1,32,13
33,7,0:27:02,48676,16,17,0,net shot,0,0,2,7,-0.059756098,0.420677083,,,5,95.8,328.86,8,155.2,711.93,1,1,32,13
33,8,0:27:03,48699,16,17,1,net shot,0,0,2,7,-0.443902439,-0.16984375,,,8,149.4,596.38,8,138.4,297.21,1,1,32,13
33,9,0:27:04,48722,16,17,0,push/rush,0,0,1,4,-0.882926829,1.586458333,,,7,143.9,376.37,8,174.6,612.81,1,1,32,13
33,10,0:27:05,48750,16,17,1,smash,1,0,2,5,-1.079268293,-0.957916667,,,9,162.1,762.38,8,136.3,249.59,1,1,32,13
33,11,0:27:05,48764,16,17,0,net shot,0,0,2,7,0.876829268,0.653541667,,,8,110.6,307.25,8,150.5,741.06,1,1,32,13
33,12,0:27:06,48793,16,17,1,lob,0,0,1,4,1.203658537,-1.461927083,,,8,225.8,597.64,8,162.6,254.38,1,1,32,13
33,13,0:27:07,48827,16,17,0,smash,0,0,2,6,-1.341463415,1.149479167,opponent's ball landed,0,8,246.5,213.93,8,217,635.18,1,1,32,13
35,1,0:28:28,51244,18,17,0,short service,0,1,2,7,-0.675609756,0.523541667,,,8,184.1,315.99,8,131.5,662.01,1,1,34,22
35,2,0:28:28,51264,18,17,1,net shot,0,1,2,7,0.303658537,-0.151197917,,,7,156.4,586.22,8,176.2,313.69,1,1,34,22
35,3,0:28:29,51288,18,17,0,lob,0,1,1,3,0.947560976,1.684895833,,,7,176.5,400.17,8,169.1,620.98,1,1,34,22
35,4,0:28:30,51322,18,17,1,smash,0,0,2,6,1.452439024,-1.089583333,,,9,201.9,798.06,8,168.3,284.55,1,1,34,22
35,5,0:28:31,51333,18,17,0,defensive shot,0,1,2,7,0.86097561,0.255989583,,,8,169.5,243.98,9,250.3,800.49,1,1,34,22
35,6,0:28:32,51365,18,17,1,net shot,0,0,2,7,0.456097561,-0.066614583,,,7,216,521.95,8,193.8,220,1,1,34,22
35,7,0:28:33,51392,18,17,0,lob,0,1,1,9,0.429268293,1.665520833,,,7,189.1,400.04,7,195.2,580.88,1,1,34,22
35,8,0:28:35,51451,18,17,1,smash,0,0,2,6,1.065853659,-0.930572917,,,9,208.6,766.23,8,159.1,287.13,1,1,34,22
35,9,0:28:35,51463,18,17,0,defensive shot,0,1,2,7,0.758536585,0.295052083,,,8,153.5,277.27,9,220.1,758.32,1,1,34,22
35,10,0:28:36,51491,18,17,1,net shot,0,0,2,7,0.35,0.017135417,,,7,203.2,567,8,196.2,315.85,1,1,34,22
35,11,0:28:37,51515,18,17,0,lob,0,1,1,9,-0.531707317,1.652864583,,,7,184.6,391.39,7,189.1,582.62,1,1,34,22
35,12,0:28:38,51559,18,17,1,clear,0,0,1,9,0.914634146,-1.43140625,,,9,144.7,788.12,8,159.6,264.61,1,1,34,22
35,13,0:28:40,51600,18,17,0,drop,0,0,2,5,1.187804878,0.972604167,,,8,232.3,214.12,8,189,696.04,1,1,34,22
35,14,0:28:40,51619,18,17,1,net shot,0,0,2,7,0.776829268,-0.078385417,,,8,231.7,649.26,9,242.1,195.02,1,1,34,22
35,15,0:28:41,51647,18,17,0,push/rush,0,0,1,3,1.209756098,1.684791667,,,7,237.1,366.45,8,216.5,633.59,1,1,34,22
35,16,0:28:42,51683,18,17,1,drop,0,0,2,1,-1.02195122,-0.434583333,,,9,246.3,764.85,8,173.3,238.73,1,1,34,22
35,17,0:28:43,51708,18,17,0,net shot,0,0,2,7,-0.170731707,0.229947917,,,5,94.4,338.23,8,203.5,736.85,1,1,34,22
35,18,0:28:44,51736,18,17,1,net shot,0,0,2,7,-0.140243902,-0.012135417,,,7,149,531.63,8,143.1,328.32,1,1,34,22
35,19,0:28:45,51761,18,17,0,lob,0,0,1,9,0.51097561,1.704739583,,,7,178.7,421.48,7,163,582.78,1,1,34,22
35,20,0:28:47,51822,18,17,1,drop,0,0,2,8,0.290243902,-0.676770833,,,9,202.9,762.31,8,173.9,266.96,1,1,34,22
35,21,0:28:47,51838,18,17,0,net shot,0,1,2,6,-1.130487805,0.727708333,,,8,164.7,304.19,8,201.7,736.86,1,1,34,22
35,22,0:28:48,51865,18,17,1,push/rush,0,1,2,10,1.745121951,-1.5525,out,0,6,100.7,614.82,8,167.7,316.18,1,1,34,22
36,1,0:29:17,52727,19,17,0,short service,0,1,2,7,0.457317073,0.437864583,,,8,168.4,355.85,8,234.1,691.51,1,1,35,12
36,2,0:29:18,52748,19,17,1,net shot,0,0,2,2,1.141463415,-0.1009375,,,8,201.5,597.77,8,175.1,286.94,1,1,35,12
36,3,0:29:19,52775,19,17,0,net shot,0,1,2,1,1.334146341,0.35078125,,,7,249.3,381.94,8,200.6,638.42,1,1,35,12
36,4,0:29:20,52805,19,17,1,lob,0,0,1,4,1.084146341,-1.461145833,,,1,270.7,580.44,8,223.4,336.79,1,1,35,12
36,5,0:29:21,52838,19,17,0,smash,0,0,2,8,-0.557317073,0.97578125,,,8,250.8,245.5,8,216.2,628.8,1,1,35,12
36,6,0:29:21,52853,19,17,1,defensive shot,0,1,2,7,-0.158536585,-0.438385417,,,8,215.1,646.21,9,236.4,189.61,1,1,35,12
36,7,0:29:22,52880,19,17,0,net shot,0,0,2,7,0.185365854,0.1596875,,,8,170.7,351.25,8,183.5,628.96,1,1,35,12
36,8,0:29:23,52902,19,17,1,net shot,0,0,2,2,1.481707317,-0.433958333,,,7,180.8,586.08,8,177.4,311.27,1,1,35,12
36,9,0:29:24,52935,19,17,0,net shot,0,1,2,7,0.676829268,0.197760417,,,2,263.4,370.67,8,198.4,652.51,1,1,35,12
36,10,0:29:25,52958,19,17,1,net shot,0,0,2,7,0.191463415,-0.05515625,,,7,193.9,533.14,8,211.4,313.27,1,1,35,12
36,11,0:29:26,52981,19,17,0,net shot,0,1,2,7,0.104878049,0.189739583,,,7,180,389.25,7,184.4,584.36,1,1,35,12
36,12,0:29:26,53006,19,17,1,lob,0,0,2,10,0.331707317,-1.7071875,out,0,7,170.7,538.76,7,183.6,375.96,1,1,35,12
38,1,0:30:24,54725,21,17,0,short service,0,1,2,1,1.202439024,0.52765625,,,8,164.1,311.43,8,236.4,672.21,1,1,37,6
38,2,0:30:24,54748,21,17,1,drive,0,0,2,7,0.112195122,-0.474166667,,,8,246.5,618.97,8,191.6,296.57,1,1,37,6
38,3,0:30:25,54768,21,17,0,net shot,0,0,2,1,1.065853659,0.379947917,,,7,193,369.16,8,220.3,610.93,1,1,37,6
38,4,0:30:26,54785,21,17,1,push/rush,0,0,1,8,0.082926829,-0.912604167,,,7,235.5,563.3,8,193.3,346.4,1,1,37,6
38,5,0:30:26,54795,21,17,0,drive,0,1,1,8,-0.023170732,0.90171875,,,8,176.9,301.62,7,220.1,587.55,1,1,37,6
38,6,0:30:26,54808,21,17,1,drive,0,1,2,7,0.140243902,0.089479167,touched the net,0,8,208.2,614.27,8,180.6,289.34,1,1,37,6
1,1,0:32:40,58825,0,1,0,short service,0,1,2,7,-0.319512195,-0.35796875,,,8,181.9,643.23,8,122.4,247.19,2,1,38,12
1,2,0:32:41,58848,0,1,1,lob,0,1,1,9,-0.681707317,1.545677083,,,8,140.8,333.04,8,173.1,638.55,2,1,38,12
1,3,0:32:42,58878,0,1,0,drop,0,0,2,6,1.52195122,-0.6221875,,,8,123.4,731.57,8,146.5,264.78,2,1,38,12
1,4,0:32:43,58906,0,1,1,net shot,0,1,2,1,1.212195122,0.388958333,,,6,273.4,340.89,8,147.6,701.96,2,1,38,12
1,5,0:32:44,58935,0,1,0,lob,0,0,1,4,1.098780488,-1.446875,,,1,258.6,541.79,8,221.4,341.46,2,1,38,12
1,6,0:32:46,58981,0,1,1,smash,0,0,2,5,1.308536585,1.122395833,,,6,256.1,213.79,8,223,658.57,2,1,38,12
1,7,0:32:46,58995,0,1,0,defensive shot,0,0,2,2,1.280487805,-0.241979167,,,8,216.1,676.79,9,247.3,161.5,2,1,38,12
1,8,0:32:47,59028,0,1,1,lob,0,1,1,3,0.996341463,1.645364583,,,2,251.1,368.55,8,237.5,619.02,2,1,38,12
1,9,0:32:48,59069,0,1,0,drop,0,0,2,8,-0.745121951,-0.611614583,,,9,232,772.68,8,186.2,281.84,2,1,38,12
1,10,0:32:49,59091,0,1,1,push/rush,0,0,1,6,-0.945121951,1.224583333,,,8,141.3,325.98,8,214.8,701.74,2,1,38,12
1,11,0:32:50,59114,0,1,0,defensive shot,0,1,2,1,-0.867073171,-0.446770833,,,8,122.6,684.55,8,139,297.2,2,1,38,12
1,12,0:32:51,59133,0,1,1,net shot,0,0,2,1,1.07195122,0.196510417,opponent's ball landed,0,7,114.6,369.98,8,115.2,665.12,2,1,38,12
4,1,0:35:49,64487,3,1,0,short service,0,1,2,8,-0.46097561,-0.553489583,,,8,181.6,620.92,8,116,262.64,2,1,41,10
4,2,0:35:50,64511,3,1,1,push/rush,0,1,1,6,-0.898780488,1.0321875,,,8,136.5,326.04,8,166.7,633.82,2,1,41,10
4,3,0:35:50,64526,3,1,0,drop,1,0,2,5,-1.114634146,-0.868229167,,,8,154.2,663.44,8,133,304.56,2,1,41,10
4,4,0:35:51,64546,3,1,1,net shot,0,0,2,2,-1.167073171,0.560885417,,,8,123,314.31,8,151.4,668.01,2,1,41,10
4,5,0:35:52,64570,3,1,0,net shot,0,1,2,1,-1.093902439,-0.44578125,,,6,99.4,618.08,8,145.6,241.7,2,1,41,10
4,6,0:35:53,64598,3,1,1,lob,0,0,1,4,-1.008536585,1.57984375,,,5,103.7,347.39,8,135.9,624.37,2,1,41,10
4,7,0:35:54,64629,3,1,0,drop,0,0,2,1,-0.984146341,-0.35515625,,,6,96.3,721.95,8,133.6,244.45,2,1,41,10
4,8,0:35:55,64652,3,1,1,push/rush,0,0,1,5,0.940243902,1.325625,,,8,107.4,302.45,6,84.3,735.78,2,1,41,10
4,9,0:35:55,64675,3,1,0,smash,0,0,2,8,0.418292683,-0.888802083,,,8,187.4,711.84,8,143.7,241.73,2,1,41,10
4,10,0:35:56,64686,3,1,1,defensive shot,0,1,2,7,0.147560976,-0.497604167,not pass over the net,0,8,167.1,282.08,5,279.5,698.65,2,1,41,10
10,1,0:38:29,69271,7,3,0,short service,0,1,2,7,-0.46097561,-0.391302083,,,8,184.7,655.66,8,121.8,272.66,2,1,47,14
10,2,0:38:29,69293,7,3,1,push/rush,0,1,2,3,1.354878049,1.509739583,,,8,127.5,349.42,8,170.6,635.39,2,1,47,14
10,3,0:38:30,69320,7,3,0,drive,0,0,1,6,1.240243902,-1.101770833,,,8,236.3,722.96,8,186.1,294.18,2,1,47,14
10,4,0:38:31,69337,7,3,1,drive,0,1,1,5,1.167073171,1.130364583,,,8,226.3,263.76,8,232.4,725.76,2,1,47,14
10,5,0:38:31,69349,7,3,0,drive,0,0,1,8,-0.392682927,-1.026666667,,,8,219.9,676.77,6,259.4,263.34,2,1,47,14
10,6,0:38:32,69366,7,3,1,drive,0,0,1,8,-0.820731707,0.943958333,,,8,200.7,264.09,8,207,639.97,2,1,47,14
10,7,0:38:32,69380,7,3,0,defensive shot,0,1,2,7,-0.115853659,-0.347552083,,,8,193.4,657.16,8,149,215.28,2,1,47,14
10,8,0:38:33,69409,7,3,1,net shot,0,0,2,1,1.22195122,0.16625,,,8,151.2,353.75,8,170.6,633.81,2,1,47,14
10,9,0:38:34,69432,7,3,0,lob,0,0,1,9,-0.83902439,-1.406458333,,,7,248.6,550.83,8,178.6,313.66,2,1,47,14
10,10,0:38:35,69471,7,3,1,clear,0,0,1,6,-1.001219512,1.43515625,,,9,130.6,160.42,8,170.6,632.21,2,1,47,14
10,11,0:38:36,69500,7,3,0,smash,0,0,2,6,1.034146341,-0.85390625,,,8,106.9,723.31,9,153.8,176.96,2,1,47,14
10,12,0:38:37,69516,7,3,1,defensive shot,0,1,2,1,1.459756098,0.53609375,,,8,152.6,257.07,6,99.3,751.93,2,1,47,14
